Key,English,Russian
BUFF_________________________XML,BUFF_________________________XML,BUFF_________________________XML
jz_BuffGashDeac,"You have a large [f21b10]Gash[-]. You will need to use a [35bd00]Suture Kit[-] to stitch it closed or it could get worse.\n\n-8% Mobility\n-1HP per 20sec","У вас большая [f21b10]рана[-]. Вам нужно будет использовать набор для [35bd00]наложения швов[-], чтобы зашить её, иначе ситуация может ухудшиться. \ N \ n-8% мобильности \ n-1 ОЗ за 20 секунд"
jz_BuffThrobbingPainDesc,"OOww! That hurts take some [35bd00]Painkillers[-] to relieve the pain\n\n-1 Stamina every 5 sec\n+10 Core Temp","Ой! Это больно, нужны [35bd00] болеутоляющие [-], чтобы облегчить боль \n \n-1 выносливость каждые 5 секунд \n + 10 базовой температуры"
jz_BuffGangreneWoundDesc,"Your wound has become [f21b10]Gangrene[-]. The only option you have is to cut off the dead tissue, this will leave you permanently scared. Use a bladed weapon to cute away the [f21b10]Gangrene[-] tissue. You will then have to treat and care for the remaining wound\n\n-4 Stamina every 1 sec\n-1 Health every 10 sec\n-12% Mobility\n-1 Wellness every 1 min\n30% more Health Loss\nUntil Treated","Ваша рана превратилась в [f21b10] гангрену [-]. Единственный вариант, который у вас есть, - отрезать мертвую ткань, это навсегда напугает вас. Используйте холодное оружие, чтобы убрать ткань [f21b10] Гангрены [-]. Затем вам нужно будет лечить оставшуюся рану и ухаживать за ней. \n \n-4 выносливости каждые 1 секунду \n-1 здоровье каждые 10 секунд \n-12% мобильности \n-1 самочувствие каждые 1 минуту \n30% больше потери здоровья \nДо лечения"
jz_BuffTendingSixDesc,"Your [f21b10]Sever Wound[-] is bandaged and healing. Try not to get hurt so it will heal.\n\n-1 Stamina every 2 sec\n-3% Mobility\n5% more Health Loss","Ваша [f21b10] Сильная рана [-] перевязана и заживает. Постарайтесь не пораниться, чтобы она зажила. \n \n-1 выносливость каждые 2 секунды \n-3% мобильности \n5% больше потери здоровья"
jz_BuffDirtyBandageThreeDesc,"Your [f21b10]Sever Wounds[-] bandage is dirty and starting to smell. Change it with another [35bd00]Sanitizing Bandage[-] soon or it could get worse.\n\n-2 Stamina every 1 sec\n-9% Mobility\n19% more Health Loss\nUntil Treated","Ваша повязка [f21b10] Тяжелой раны [-] грязная и начинает пахнуть. Замените его другой [35bd00] Дезинфицирующой повязкой [-] в ближайшее время, иначе ситуация может ухудшиться. \n \n-2 выносливости каждые 1 сек. \n-9% мобильности \n19% больше потери здоровья \nДо лечения"
jz_BuffTendingFiveDesc,"Your [f21b10]Sever Wound[-] is bandaged and healing. Make sure to change it when it gets dirty so it does not get worse.\n\n-1 Stamina every 1 sec\n-6% Mobility\n12% more Health Loss","Ваша [f21b10] Сильная рана [-] перевязана и заживает. Не забывайте менять повязку, когда он загрязняется, чтобы не стало хуже. \n \n-1 выносливость каждую 1 секунду \n-6% мобильности \n12% больше потери здоровья"
jz_BuffTendingFourDesc,"Your [f21b10]Wound[-] is bandaged and healing. Try not to get hurt so it will heal.\n\n-1 Stamina every 4 sec\n-2% Mobility\n5% more Health Loss","Ваша [f21b10] Рана [-] перевязана и заживает. Постарайтесь не пораниться, чтобы он зажил. \n \n-1 выносливость каждые 4 секунды \n-2% мобильности \n5% больше потери здоровья"
jz_BuffDirtyBandageTwoDesc,"Your [f21b10]Wounds[-] bandage is dirty and starting to smell. Change it with another [35bd00]First Aid Bandage[-] soon or it could get worse\n\n-1 Stamina every 1 sec\n-6% Mobility\n15% more Health Loss\nUntil Treated","Ваша [f21b10] повязка на раны [-] грязная и начинает пахнуть. В ближайшее время замените его другим [35bd00] бинтом для оказания первой помощи [-], иначе ситуация может ухудшиться \n \n-1 выносливость каждые 1 секунду \n-6% мобильности \nПотеря здоровья на 15% больше \nДо лечения"
jz_BuffTendingThreeDesc,"Your [f21b10]Wound[-] is bandaged and healing. Make sure to change it with another [35bd00]First Aid Bandage[-] when it gets dirty so it does not get worse.\n\n-1 Stamina every 2 sec\n-4% Mobility\n10% more Health Loss","Ваша [f21b10] Рана [-] перевязана и заживает. Не забудьте заменить его другим [35bd00] бинтом для оказания первой помощи [-], когда он станет грязным, чтобы не становилось хуже. \n \n-1 выносливость каждые 2 секунды \n-4% мобильности \n10% больше потери здоровья"
